,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
fine_grained_changes_transformer_90,0,"[0, 1]",0.21580863234529382,0.21580863234529382,0.11622464898595944,605,225,0.7289156626506024
buggless_if_one_file_markdown_ext,1,[],0.0,0.0,0.0,0,0,0.0
buggless_if_doc_extensions,2,[],0.0,0.0,0.0,0,0,0.0
fine_grained_changes_transformer_80,3,"[0, 1]",0.125065002600104,0.125065002600104,0.08606344253770151,327,154,0.6798336798336798
fine_grained_changes_transformer_70,4,"[0, 1]",0.0969838793551742,0.0969838793551742,0.06448257930317212,242,131,0.6487935656836461
all_files_test_add,5,[0],0.0013000520020800832,0.0013000520020800832,0.0010400416016640667,3,2,0.6
all_files_test_fix,6,[0],0.00026001040041601667,0.00026001040041601667,0.00026001040041601667,1,0,1.0
buggless_if_many_lines_changed,7,[0],0.16796671866874674,0.16796671866874674,0.041341653666146644,573,73,0.8869969040247678
buggless_one_file,8,[0],0.312792511700468,0.312792511700468,0.2875715028601144,650,553,0.5403158769742311
bugless_if_at_least_2_removed_files,9,[0],0.022880915236609463,0.022880915236609463,0.004160166406656267,82,6,0.9318181818181819
bugless_if_at_least_5_added_files,10,[0],0.0405616224648986,0.0405616224648986,0.006760270410816433,150,6,0.9615384615384616
bugless_if_many_files_changes,11,[0],0.10036401456058243,0.10036401456058243,0.01794071762870515,364,22,0.9430051813471503
bugless_if_not_code_files,12,[0],0.018980759230369213,0.018980759230369213,0.014820592823712949,55,18,0.7534246575342466
no_files_have_modified_status,13,[0],0.01950078003120125,0.01950078003120125,0.005980239209568383,66,9,0.88
refactoring_if_at_least_2_renamed,14,[0],0.02158086323452938,0.02158086323452938,0.0031201248049922,81,2,0.9759036144578312
small_change,15,"[0, 1]",1.0,1.0,0.5717628705148206,2376,1470,0.6177847113884556
long_change,16,"[0, 1]",1.0,1.0,0.5717628705148206,2376,1470,0.6177847113884556
bug_message_keyword_bad,17,[1],0.003640145605824233,0.003640145605824233,0.003640145605824233,9,5,0.6428571428571428
bug_message_keyword_broken,18,[1],0.004420176807072283,0.004420176807072283,0.004160166406656267,12,5,0.7058823529411764
bug_message_keyword_bug,19,[1],0.1372854914196568,0.1372854914196568,0.12636505460218408,279,249,0.5284090909090909
bug_message_keyword_close,20,[1],0.018200728029121163,0.018200728029121163,0.01690067602704108,46,24,0.6571428571428571
bug_message_keyword_concurr,21,[1],0.008060322412896516,0.008060322412896516,0.0075403016120644826,20,11,0.6451612903225806
bug_message_keyword_correct,22,[1],0.017420696827873113,0.017420696827873113,0.01638065522620905,43,24,0.6417910447761194
bug_message_keyword_corrupt,23,[1],0.004420176807072283,0.004420176807072283,0.0039001560062402497,13,4,0.7647058823529411
bug_message_keyword_crash,24,[1],0.0010400416016640667,0.0010400416016640667,0.0010400416016640667,4,0,1.0
bug_message_keyword_deadlock,25,[1],0.004940197607904316,0.004940197607904316,0.004420176807072283,19,0,1.0
bug_message_keyword_defect,26,[1],0.00026001040041601667,0.00026001040041601667,0.00026001040041601667,1,0,1.0
bug_message_keyword_disabl,27,[1],0.00546021840873635,0.00546021840873635,0.004940197607904316,8,13,0.38095238095238093
bug_message_keyword_endless,28,[1],0.0005200208008320333,0.0005200208008320333,0.0005200208008320333,2,0,1.0
bug_message_keyword_ensur,29,[1],0.003640145605824233,0.003640145605824233,0.0033801352054082163,9,5,0.6428571428571428
bug_message_keyword_error,30,[1],0.018200728029121163,0.018200728029121163,0.0171606864274571,30,40,0.4285714285714286
bug_message_keyword_except,31,[1],0.03016120644825793,0.03016120644825793,0.02782111284451378,60,56,0.5172413793103449
bug_message_keyword_fail,32,[1],0.0436817472698908,0.0436817472698908,0.0405616224648986,92,76,0.5476190476190477
bug_message_keyword_bugfix,33,[1],0.2233489339573583,0.2233489339573583,0.19708788351534062,494,365,0.5750873108265425
bug_message_keyword_garbag,34,[1],0.0033801352054082163,0.0033801352054082163,0.0031201248049922,8,5,0.6153846153846154
bug_message_keyword_handl,35,[1],0.02080083203328133,0.02080083203328133,0.018980759230369213,40,40,0.5
bug_message_keyword_incomplet,36,[1],0.0015600624024961,0.0015600624024961,0.0013000520020800832,4,2,0.6666666666666666
bug_message_keyword_inconsist,37,[1],0.004940197607904316,0.004940197607904316,0.0046801872074883,14,5,0.7368421052631579
bug_message_keyword_incorrect,38,[1],0.008320332813312533,0.008320332813312533,0.0070202808112324495,19,13,0.59375
bug_message_keyword_infinit,39,[1],0.0020800832033281333,0.0020800832033281333,0.0018200728029121164,6,2,0.75
bug_message_keyword_invalid,40,[1],0.005720228809152366,0.005720228809152366,0.005200208008320333,17,5,0.7727272727272727
bug_message_keyword_issue,41,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_leak,42,[1],0.004160166406656267,0.004160166406656267,0.0033801352054082163,11,5,0.6875
bug_message_keyword_loop,43,[1],0.004420176807072283,0.004420176807072283,0.0039001560062402497,11,6,0.6470588235294118
